user,repo,file,nbr of comits in the last year,nbr of commits in the last 6 month,nbr of commits in the last month,Data of creation,repos html url,
Dragauneau,-CezardRenan_3_20092021,gitlab-ci.yml,,,,2021-10-07,https://github.com/Dragauneau/-CezardRenan_3_20092021/blob/a64839ff460dcdb276206d56aa8138d6af7b3895/gitlab-ci.yml,api.github.com/repos/Dragauneau/-CezardRenan_3_20092021
MiaYWei,5G_ML,gitlab-ci-clang.yml,,,,2021-08-19,https://github.com/MiaYWei/5G_ML/blob/e789dbfb8c453169629448be6a65d99087e188db/ns-3-dev/utils/tests/gitlab-ci-clang.yml,api.github.com/repos/MiaYWei/5G_ML
julea-io,adios2,gitlab-ci-gitlabdotcom.yml,,,,2019-07-12,https://github.com/julea-io/adios2/blob/10ec6fcedee9c36cf3d84f6d85743ebb00539d24/.gitlab/gitlab-ci-gitlabdotcom.yml,api.github.com/repos/julea-io/adios2
d-e-s-o,apca,gitlab-ci.yml,,,,2020-04-21,https://github.com/d-e-s-o/apca/blob/3e1ec52ccf439bd491c42ce01851550813459a61/ci/gitlab-ci.yml,api.github.com/repos/d-e-s-o/apca
d-e-s-o,apcacli,gitlab-ci.yml,,,,2020-05-13,https://github.com/d-e-s-o/apcacli/blob/453b132a1af9afab17e23ba6850f04247db9b513/ci/gitlab-ci.yml,api.github.com/repos/d-e-s-o/apcacli
fare,asdf,gitlab-ci.yml,,,,2013-04-10,https://github.com/fare/asdf/blob/11a691c03eba55b718a154b673a7b77eb63eb244/gitlab-ci.yml,api.github.com/repos/fare/asdf
YunxiTang,BEATCPP,build.gitlab-ci.yml,,,,2020-12-12,https://github.com/YunxiTang/BEATCPP/blob/ebff7f9ea79126ffd96aa2a1e89a4bcfe788886a/eigen-3.4-rc1/ci/build.gitlab-ci.yml,api.github.com/repos/YunxiTang/BEATCPP
YunxiTang,BEATCPP,smoketests.gitlab-ci.yml,,,,2020-12-12,https://github.com/YunxiTang/BEATCPP/blob/ebff7f9ea79126ffd96aa2a1e89a4bcfe788886a/eigen-3.4-rc1/ci/smoketests.gitlab-ci.yml,api.github.com/repos/YunxiTang/BEATCPP
YunxiTang,BEATCPP,test.gitlab-ci.yml,,,,2020-12-12,https://github.com/YunxiTang/BEATCPP/blob/ebff7f9ea79126ffd96aa2a1e89a4bcfe788886a/eigen-3.4-rc1/ci/test.gitlab-ci.yml,api.github.com/repos/YunxiTang/BEATCPP
BerkeleyLab,Bedrock,oscope.gitlab-ci.yml,,,,2019-08-19,https://github.com/BerkeleyLab/Bedrock/blob/4955759741a2f84195ec5be0dbeec761385019a1/.gitlab/ci/oscope.gitlab-ci.yml,api.github.com/repos/BerkeleyLab/Bedrock
Qortal,Brooklyn,gitlab-ci.yml,,,,2021-05-26,https://github.com/Qortal/Brooklyn/blob/df8b07f6eaee6b4e018e5b49509daa8686fb1b50/mesa%203D%20driver/src/gallium/drivers/lima/ci/gitlab-ci.yml,api.github.com/repos/Qortal/Brooklyn
